Date,Type,Name,Withdraw,Deposit
2023-02-03,tdsavings,Transfer to savings,,0.5
2023-02-03,cibc credit,"WAL-MART SUPERCENTER#3109 VICTORIA, BC",,30.88
2023-02-06,td chequing,MENBOW RAMEN BA   _F,23.18,
2023-02-06,cibc credit,"#5120 SPORT CHEK VICTORIA, BC",,100.75
2023-02-06,cibc chequing,Point of Sale - Interac RETAIL PURCHASE 000001001718 WALMART STORE #,48.84,
2023-02-06,cibc chequing,Point of Sale - Interac RETAIL PURCHASE 303622365042 LONDON DRUGS 29,14.69,
2023-02-06,cibc chequing,Point of Sale - Visa Debit VISA DEBIT RETAIL PURCHASE DOORDASH DASHPA 303704779226,9.99,
2023-02-06,cibc chequing,Point of Sale - Interac RETAIL PURCHASE 000001001510 COINAMATIC - 24,10.0,
2023-02-06,cibc chequing,Point of Sale - Interac RETAIL PURCHASE 303519230038 LONDON DRUGS 14,19.59,
2023-02-07,td chequing,Transfer to savings,0.5,
2023-02-07,tdsavings,Transfer to savings,,0.5
2023-02-07,cibc credit,"BROWNS THE FLORIST - VICT VICTORIA, BC",,22.4
2023-02-09,cibc credit,"SALARMY CEDAR HILL THRIFT VICTORIA, BC",,20.33
2023-02-13,cibc chequing,Point of Sale - Interac RETAIL PURCHASE 125001001097 REAL CDN WHOLES,13.49,
2023-02-13,td chequing,REAL CDN WHOLES   _F,13.49,
2023-02-13,td chequing,BLUEBIRD CABS     _F,38.35,
2023-02-13,td chequing,LONDON DRUGS 29   _F,4.58,
2023-02-13,cibc chequing,Point of Sale - Visa Debit VISA DEBIT RETAIL PURCHASE GAP.COM 4584 304408802935,78.62,
2023-02-14,td chequing,Transfer to savings,1.5,
2023-02-14,tdsavings,Transfer to savings,,1.5
2023-02-17,td chequing,COINAMATIC - 24     ,15.0,
2023-02-17,td chequing,WALMART STORE #   _F,26.85,
2023-02-21,td chequing,Transfer to savings,1.0,
2023-02-21,td chequing,REAL CDN WHOLES   _M,13.49,
2023-02-21,td chequing,REAL CDN WHOLES   _F,22.47,
2023-02-21,td chequing,WAL-MART #1214    _M,17.74,
2023-02-21,tdsavings,Transfer to savings,,1.0
2023-02-22,cibc credit,"CINEPLEX 1129 QPS VICTORIA, BC",,9.98
2023-02-22,td chequing,Transfer to savings,1.5,
2023-02-22,tdsavings,Transfer to savings,,1.5
2023-02-23,td chequing,Ind. Pay. Ser.   PAY,,212.43
2023-02-24,cibc credit,PRE-AUTHORIZED PAYMENT - THANK YOU,399.97,
2023-02-27,cibc credit,"UVIC RESIDENCE SERVICES E VICTORIA, BC",,50.0
2023-02-27,cibc chequing,Electronic Funds Transfer PREAUTHORIZED DEBIT CIBC CARD PRODUCTS DIVISION,399.97,
2023-02-27,td chequing,REAL CDN WHOLES   _M,14.59,
2023-02-27,td chequing,REAL CDN WHOLES   _M,4.19,
2023-02-27,td chequing,REAL CDN WHOLES   _M,8.39,
2023-02-28,td chequing,SEND E-TFR ***ZUT   ,400.0,
2023-02-28,td chequing,NMM TFR 305912831705,,3963.18
2023-02-28,cibc chequing,Branch Transaction SERVICE CHARGE DISCOUNT,,6.95
2023-02-28,cibc chequing,Branch Transaction SERVICE CHARGE ADD TXN$0.00;MONTHLY$6.95 RECORD-KEEPING N/A,6.95,
2023-02-28,tdsavings,Transfer to savings,,1.5
2023-02-28,td chequing,UNI VIC TUIT Q8K3J3 ,3629.48,
2023-02-28,td chequing,Transfer to savings,1.5,
2023-02-28,td chequing,REAL CDN WHOLES   _M,43.43,
2023-02-28,cibc chequing,Branch Transaction OVERDRAFT INTEREST CHARGE,0.45,
2023-02-28,cibc chequing,Branch Transaction OVER LIMIT FEE,5.0,
2023-03-01,tdsavings,Transfer to savings,,0.5
2023-03-01,cibc chequing,Internet Banking E-TRANSFER 104388496915 KELLY OJUKWU,,400.0
2023-03-01,td chequing,Transfer to savings,0.5,
2023-03-01,td chequing,Spotify P2    5.59_V,5.59,
2023-03-02,td chequing,Transfer to savings,0.5,
2023-03-02,tdsavings,Transfer to savings,,0.5
2023-03-03,td chequing,DD                _V,21.56,
2023-03-06,td chequing,COINAMATIC - 24     ,10.25,
2023-03-06,td chequing,Transfer to savings,0.5,
2023-03-06,tdsavings,Transfer to savings,,0.5
2023-03-06,td chequing,REAL CDN WHOLES   _F,8.39,
2023-03-07,tdsavings,Transfer to savings,,1.0
2023-03-07,td chequing,Transfer to savings,1.0,
2023-03-07,td chequing,AMZN Mktp CA      _V,18.16,
2023-03-08,tdsavings,Transfer to savings,,0.5
2023-03-08,td chequing,Transfer to savings,0.5,
2023-03-08,cibc credit,CASHBACK/REMISE EN ARGENT,25.0,
2023-03-09,cibc chequing,Internet Banking E-TRANSFER 104408931397 KELLY OJUKWU,,205.0
2023-03-09,cibc chequing,Internet Banking INTERNET TRANSFER 000000101337,203.46,
2023-03-09,td chequing,Ind. Pay. Ser.   PAY,,552.05
2023-03-09,td chequing,SEND E-TFR ***zrn   ,205.0,
2023-03-10,cibc credit,PAYMENT THANK YOU/PAIEMEN T MERCI,203.46,
2023-03-13,td chequing,COINAMATIC - 24     ,10.25,
2023-03-13,cibc chequing,Point of Sale - Visa Debit VISA DEBIT RETAIL PURCHASE AMZN Mktp CA 307174233543,19.03,
2023-03-13,cibc chequing,Branch Transaction PAY PER USE OVERDRAFT FEE,5.0,
2023-03-13,td chequing,DD                _V,22.5,
2023-03-14,cibc chequing,Internet Banking E-TRANSFER 104419022451 KELLY OJUKWU,,20.0
2023-03-14,tdsavings,Transfer to savings,,1.0
2023-03-14,td chequing,Transfer to savings,1.0,
2023-03-14,td chequing,SEND E-TFR ***KaK   ,20.0,
2023-03-15,td chequing,WALMART STORE #   _F,61.87,
2023-03-16,tdsavings,Transfer to savings,,0.5
2023-03-16,td chequing,Transfer to savings,0.5,
2023-03-20,td chequing,DD                _V,24.74,
2023-03-20,td chequing,SEND E-TFR ***HXs   ,225.0,
2023-03-20,cibc credit,"GAP.COM 4584 800-427-7895, ON",,75.19
2023-03-20,cibc chequing,Internet Banking E-TRANSFER 104428725933 KELLY OJUKWU,,225.0
2023-03-20,cibc chequing,Internet Banking INTERNET TRANSFER 000000200492,203.46,
2023-03-21,cibc credit,PAYMENT THANK YOU/PAIEMEN T MERCI,203.46,
2023-03-21,td chequing,Transfer to savings,0.5,
2023-03-21,tdsavings,Transfer to savings,,0.5
2023-03-21,cibc credit,"BORDERFREE 4740 2122993555, ON",,128.8
2023-03-23,td chequing,Ind. Pay. Ser.   PAY,,85.89
2023-03-24,td chequing,COINAMATIC - 24     ,10.25,
2023-03-27,cibc credit,"DD/DOORDASHWENDYS VANCOUVER, BC",,22.11
2023-03-27,tdsavings,Transfer to savings,,0.5
2023-03-27,td chequing,Transfer to savings,0.5,
2023-03-27,td chequing,REAL CDN WHOLES   _M,21.58,
2023-03-28,td chequing,Transfer to savings,0.5,
2023-03-28,cibc credit,"GAP.COM 4584 800-427-7895, ON",52.03,
2023-03-28,cibc credit,"GAP CANADA 9888 VICTORIA, BC",,23.13
2023-03-28,tdsavings,Transfer to savings,,0.5
2023-03-31,cibc chequing,Branch Transaction SERVICE CHARGE ADD TXN$0.00;MONTHLY$6.95 RECORD-KEEPING N/A,6.95,
2023-03-31,cibc chequing,Branch Transaction OVERDRAFT INTEREST CHARGE,0.01,
2023-03-31,cibc chequing,Branch Transaction SERVICE CHARGE DISCOUNT,,6.95
2023-04-03,cibc credit,"GAP.COM 4584 800-427-7895, ON",,61.26
2023-04-03,td chequing,REAL CDN WHOLES   _M,14.44,
2023-04-03,td chequing,REAL CDN WHOLES   _M,7.13,
2023-04-03,td chequing,Spotify       5.59_V,5.59,
2023-04-03,cibc credit,"UVIC RESIDENCE SERVICES E VICTORIA, BC",,50.0
2023-04-04,cibc credit,"COINAMATIC VICTORIA, BC",,10.25
2023-04-04,tdsavings,Transfer to savings,,1.5
2023-04-04,td chequing,Transfer to savings,1.5,
2023-04-05,td chequing,Amazon Pri    7.49_V,10.44,
2023-04-06,tdsavings,Transfer to savings,,0.5
2023-04-06,td chequing,Ind. Pay. Ser.   PAY,,192.41
2023-04-06,td chequing,Transfer to savings,0.5,
2023-04-10,td chequing,SEND E-TFR ***dg9   ,10.0,
2023-04-10,td chequing,REAL CDN WHOLES   _M,8.97,
2023-04-10,td chequing,REAL CDN WHOLES   _M,13.21,
2023-04-11,tdsavings,Transfer to savings,,1.0
2023-04-11,td chequing,Transfer to savings,1.0,
2023-04-13,cibc chequing,Internet Banking INTERNET TRANSFER 000000218123,90.25,
2023-04-13,td chequing,SEND E-TFR ***Kwn   ,100.0,
2023-04-13,td chequing,SEND E-TFR ***nEa   ,700.0,
2023-04-13,td chequing,SEND E-TFR ***fmH   ,400.0,
2023-04-13,td chequing,AMZN Mktp CA      _V,43.64,
2023-04-13,td chequing,NMM TFR 310302429705,,388.98
2023-04-13,cibc credit,"WENDY'S RESTAURANTS VICTORIA, BC",,11.11
2023-04-13,cibc chequing,Internet Banking E-TRANSFER 104484628815 KELLY OJUKWU,,100.0
2023-04-14,tdsavings,Transfer to savings,,0.5
2023-04-14,cibc credit,PAYMENT THANK YOU/PAIEMEN T MERCI,90.25,
2023-04-14,td chequing,COINAMATIC - 24     ,10.25,
2023-04-14,td chequing,UVIC CAMPUS PHA   _F,4.47,
2023-04-14,td chequing,Transfer to savings,0.5,
2023-04-14,td chequing,UVIC ONE CARD O   _V,40.0,
2023-04-14,td chequing,UVIC FOOD SERVE   _M,7.02,
2023-04-14,td chequing,NMM TFR 310310511705,,906.36
2023-04-17,td chequing,Transfer to savings,2.0,
2023-04-17,td chequing,AMZN Mktp CA      _V,44.11,
2023-04-17,td chequing,UVIC ONE CARD O   _V,30.0,
2023-04-17,tdsavings,Transfer to savings,,2.0
2023-04-17,cibc credit,WWW.HOSTELWORLD.COM DUBLIN 33.84 USD @ 1.373226,,46.47
2023-04-17,td chequing,AMZN Mktp CA      _V,37.61,
2023-04-18,td chequing,Transfer to savings,1.5,
2023-04-18,tdsavings,WU390 TFR-TO 6663314,10.0,
2023-04-18,tdsavings,Transfer to savings,,1.5
2023-04-18,td chequing,UVIC FOOD SERVE   _M,6.46,
2023-04-18,td chequing,WU390 TFR-FR 6666356,,10.0
2023-04-18,td chequing,NOODLEBOX SHELB   _V,14.88,
2023-04-19,tdsavings,Transfer to savings,,1.0
2023-04-19,td chequing,WALMART STORE #   _F,15.85,
2023-04-19,td chequing,Transfer to savings,1.0,
2023-04-19,cibc credit,"WAL-MART SUPERCENTER#1214 VICTORIA, BC",,12.91
2023-04-20,td chequing,UVIC BOOKSTORE    _F,13.33,
2023-04-20,td chequing,Transfer to savings,0.5,
2023-04-20,td chequing,SEND E-TFR ***2Nd   ,100.0,
2023-04-20,tdsavings,Transfer to savings,,0.5
2023-04-20,td chequing,Ind. Pay. Ser.   PAY,,293.57
2023-04-21,td chequing,POPEYES #13687    _M,12.06,
2023-04-21,td chequing,Transfer to savings,0.5,
2023-04-21,tdsavings,Transfer to savings,,0.5
2023-04-21,cibc chequing,Internet Banking INTERNET TRANSFER 000000133063,90.25,
2023-04-21,cibc chequing,Internet Banking E-TRANSFER 104500583261 KELLY OJUKWU,,100.0
2023-04-24,td chequing,Transfer to savings,0.5,
2023-04-24,cibc chequing,Internet Banking INTERNET TRANSFER 000000213255,,20.0
2023-04-24,td chequing,AMZN Mktp CA      _V,38.04,
2023-04-24,cibc chequing,Point of Sale - Interac RETAIL PURCHASE 000001372089 THRIFTY FOODS #,10.9,
2023-04-24,cibc chequing,Point of Sale - Interac RETAIL PURCHASE 000001001117 WALMART STORE #,7.91,
2023-04-24,td chequing,UVIC FOOD SERVE   _M,10.49,
2023-04-24,td chequing,REAL CDN WHOLES   _M,22.82,
2023-04-24,td chequing,UVIC FOOD SERVE   _F,10.49,
2023-04-24,td chequing,AMZN Mktp CA      _V,12.3,
2023-04-24,cibc chequing,Internet Banking INTERNET TRANSFER 000000138033,40.0,
2023-04-24,cibc credit,PAYMENT THANK YOU/PAIEMEN T MERCI,90.25,
2023-04-24,tdsavings,Transfer to savings,,0.5
2023-04-24,cibc credit,"THRIFTY FOODS #9451 VICTORIA, BC",,24.76
2023-04-25,td chequing,Transfer to savings,2.5,
2023-04-25,td chequing,NMM TFR 311505739705,,6625.0
2023-04-25,cibc credit,"COINAMATIC VICTORIA, BC",,10.25
2023-04-25,cibc credit,CASH ADVANCE/AVANCE DE FO NDS,,20.0
2023-04-25,td chequing,UNI VIC TUIT Y7Z2Q5 ,6390.08,
2023-04-25,cibc credit,PAYMENT THANK YOU/PAIEMEN T MERCI,40.0,
2023-04-25,tdsavings,Transfer to savings,,2.5
2023-04-25,tdsavings,SEND E-TFR ***2vq   ,10.0,
2023-04-25,tdsavings,SEND E-TFR FEE      ,0.5,
2023-04-26,cibc chequing,Internet Banking INTERNET TRANSFER 000000106232,10.0,
2023-04-26,cibc chequing,Internet Banking E-TRANSFER 104511695475 KELLY OJUKWU,,10.0
2023-04-27,td chequing,OCEAN ISLAND BA   _F,10.0,
2023-04-27,cibc credit,"UVIC FOOD SERVERY VICTORIA, BC",,10.49
2023-04-27,cibc credit,PAYMENT THANK YOU/PAIEMEN T MERCI,10.0,
2023-04-28,td chequing,OVERDRAFT INTEREST  ,0.38,
2023-04-28,cibc chequing,Branch Transaction SERVICE CHARGE DISCOUNT,,6.95
2023-04-28,cibc chequing,Branch Transaction SERVICE CHARGE ADD TXN$0.00;MONTHLY$6.95 RECORD-KEEPING N/A,6.95,
2023-04-28,cibc credit,"BLUEBIRD CABS VICTORIA, BC",,55.8
2023-04-28,tdsavings,Transfer to savings,,0.5
2023-04-28,cibc credit,"WENDYS 6540 VICTORIA, BC",,11.71
2023-04-28,cibc credit,"THRIFTY FOODS #9469 VICTORIA, BC",,11.98
2023-04-28,td chequing,Transfer to savings,0.5,
2023-05-01,cibc credit,"DAIRY QUEEN #26988 VICTORIA, BC",,8.44
2023-05-01,cibc credit,"OCEAN ISLAND BACK PACKERS VICTORIA, BC",10.0,
2023-05-01,cibc credit,"OCEAN ISLAND BACK PACKERS VICTORIA, BC",,293.39
2023-05-01,cibc credit,"OCEAN ISLAND BACK PACKERS VICTORIA, BC",,10.0
2023-05-01,td chequing,NMM TFR 311809802705,,1316.0
2023-05-01,td chequing,SEND E-TFR ***w8h   ,700.0,
2023-05-01,td chequing,TIM HORTONS #32   _M,3.13,
2023-05-01,td chequing,SEND E-TFR ***Mcp   ,800.0,
2023-05-01,td chequing,SEND E-TFR ***9MD   ,110.0,
2023-05-01,cibc credit,"TIM HORTONS #3258 VICTORIA, BC",,4.5
2023-05-01,cibc credit,"SQ *LOCAL PIZZA - DOUGLAS 8774174551, BC",,17.23
2023-05-01,cibc credit,"TIM HORTONS #3258 VICTORIA, BC",,5.45
2023-05-01,cibc credit,"THRIFTY FOODS #9454 VICTORIA, BC",,11.16
2023-05-01,td chequing,Spotify       5.59_V,5.59,
2023-05-02,td chequing,CANADIAN TIRE #   _F,2.78,
2023-05-02,cibc chequing,Internet Banking INTERNET TRANSFER 000000136291,110.0,
2023-05-02,cibc credit,"DAIRY QUEEN #26988 OLO VICTORIA, BC",,9.39
2023-05-02,cibc chequing,Internet Banking E-TRANSFER 104527142959 KELLY OJUKWU,,110.0
2023-05-02,tdsavings,Transfer to savings,,1.0
2023-05-02,td chequing,Transfer to savings,1.0,
2023-05-03,cibc credit,PAYMENT THANK YOU/PAIEMEN T MERCI,110.0,
2023-05-03,td chequing,Transfer to savings,0.5,
2023-05-03,tdsavings,Transfer to savings,,0.5
2023-05-03,cibc credit,"BLUEBIRD CABS VICTORIA, BC",,43.4
2023-05-03,td chequing,WALMART STORE #   _M,5.84,
2023-05-04,td chequing,UVIC ONE CARD O   _M,5.0,
2023-05-04,td chequing,UVIC ONE CARD O   _M,20.0,
2023-05-04,td chequing,SEND E-TFR ***qDq   ,90.0,
2023-05-04,td chequing,Transfer to savings,0.5,
2023-05-04,td chequing,Ind. Pay. Ser.   PAY,,167.39
2023-05-04,tdsavings,Transfer to savings,,0.5
2023-05-04,cibc credit,"WAL-MART SUPERCENTER#1214 VICTORIA, BC",,77.47
2023-05-04,cibc credit,"WAL-MART SUPERCENTER#1214 VICTORIA, BC",,114.04
2023-05-04,td chequing,WAL-MART #1214    _M,17.58,
2023-05-05,td chequing,Amazon Pri    7.49_V,10.57,
2023-05-05,td chequing,Transfer to savings,1.5,
2023-05-05,cibc credit,"REAL CDN WHOLESALE #67 VICTORIA, BC",,14.54
2023-05-05,tdsavings,Transfer to savings,,1.5
2023-05-08,tdsavings,Transfer to savings,,0.5
2023-05-08,td chequing,Transfer to savings,0.5,
2023-05-08,td chequing,REAL CDN WHOLES   _M,9.0,
2023-05-08,td chequing,WALMART STORE #   _M,9.45,
2023-05-08,td chequing,REAL CDN WHOLES   _M,15.14,
2023-05-09,tdsavings,Transfer to savings,,1.5
2023-05-09,td chequing,Transfer to savings,1.5,
2023-05-10,cibc credit,"UVIC ATHLETICS VICTORIA, BC",,42.0
2023-05-10,cibc credit,"REAL CDN WHOLESALE #67 VICTORIA, BC",,8.44
2023-05-10,cibc credit,"REAL CDN WHOLESALE #67 VICTORIA, BC",,21.57
2023-05-11,cibc credit,"REAL CDN WHOLESALE #67 VICTORIA, BC",,15.88
2023-05-12,td chequing,SEND E-TFR ***peQ   ,560.0,
2023-05-12,td chequing,SEND E-TFR ***PWD   ,50.0,
2023-05-12,td chequing,NMM TFR 313204803705,,606.42
2023-05-15,cibc chequing,Internet Banking E-TRANSFER 104552589289 KELLY OJUKWU,,560.0
2023-05-15,cibc chequing,Internet Banking INTERNET TRANSFER 000000126529,549.7,
2023-05-15,cibc chequing,Point of Sale - Interac RETAIL PURCHASE 422001001059 REAL CDN WHOLES,8.08,
2023-05-15,cibc chequing,Point of Sale - Interac RETAIL PURCHASE 423001001066 REAL CDN WHOLES,3.59,
2023-05-15,cibc credit,PAYMENT THANK YOU/PAIEMEN T MERCI,549.7,
2023-05-18,cibc chequing,Internet Banking E-TRANSFER 104564573331 KELLY OJUKWU,,601.0
2023-05-18,td chequing,Ind. Pay. Ser.   PAY,,601.38
2023-05-18,cibc chequing,Point of Sale - Visa Debit INTL VISA DEB RETAIL PURCHASE UVIC ONE CARD O T23137165519 1.00 CAD @ 1.000000,1.0,
2023-05-18,td chequing,SEND E-TFR ***2fX   ,601.0,
2023-05-18,cibc chequing,Internet Banking INTERNET TRANSFER 000000205374,102.43,
2023-05-19,cibc credit,"WAL-MART SUPERCENTER#1214 VICTORIA, BC",,3.33
2023-05-19,cibc credit,"WAL-MART SUPERCENTER#1214 VICTORIA, BC",,21.28
2023-05-19,cibc chequing,Point of Sale - Interac RETAIL PURCHASE 000001777019 SHOE COMPANY #,67.19,
2023-05-19,cibc credit,PAYMENT THANK YOU/PAIEMEN T MERCI,102.43,
2023-05-23,tdsavings,WQ355 TFR-TO 6663314,12.0,
2023-05-23,td chequing,WQ355 TFR-FR 6666356,,12.0
2023-05-23,cibc chequing,Point of Sale - Interac RETAIL PURCHASE 000001567024 DRIVER SERVICES,10.0,
2023-05-23,cibc chequing,Point of Sale - Interac RETAIL PURCHASE 000001267030 DRIVER SERVICES,15.0,
2023-05-23,cibc chequing,Point of Sale - Interac RETAIL PURCHASE 429001001043 REAL CDN WHOLES,17.55,
2023-05-26,cibc chequing,Internet Banking INTERNET TRANSFER 000000109078,24.61,
2023-05-29,cibc chequing,Point of Sale - Interac RETAIL PURCHASE 314722154387 QUESADA BURRITO,4.29,
2023-05-29,cibc chequing,Point of Sale - Interac RETAIL PURCHASE 314622233276 QUESADA BURRITO,4.29,
2023-05-29,cibc chequing,Point of Sale - Interac RETAIL PURCHASE 314820138432 MCDONALD'S #133,3.98,
2023-05-29,cibc chequing,Internet Banking INTERNET TRANSFER 000000109724,,449.0
2023-05-29,cibc credit,PAYMENT THANK YOU/PAIEMEN T MERCI,24.61,
2023-05-30,td chequing,QUESADA BURRITO   _M,3.66,
2023-05-30,cibc credit,CASH ADV/BT/CONV CHQ FEE,,5.0
2023-05-30,cibc credit,CASH ADVANCE/AVANCE DE FO NDS,,449.0
2023-05-30,td chequing,QUESADA BURRITO   _M,3.66,
2023-05-31,tdsavings,Transfer to savings,,1.0
2023-05-31,cibc chequing,Branch Transaction SERVICE CHARGE ADD TXN$2.50;MONTHLY$6.95 RECORD-KEEPING N/A,9.45,
2023-05-31,cibc chequing,Branch Transaction SERVICE CHARGE DISCOUNT,,9.45
2023-05-31,td chequing,Transfer to savings,1.0,
2023-06-01,cibc credit,"UVIC FOOD SERVERY VICTORIA, BC",,3.87
2023-06-01,cibc credit,"UVIC FOOD SERVERY VICTORIA, BC",,7.35
2023-06-01,td chequing,THRIFTY FOODS #   _M,12.0,
2023-06-01,td chequing,WALMART STORE #   _M,10.38,
2023-06-01,td chequing,Ind. Pay. Ser.   PAY,,415.38
2023-06-01,td chequing,SEND E-TFR ***pDc   ,200.0,
2023-06-01,td chequing,SEND E-TFR ***RSg   ,450.0,
2023-06-01,td chequing,NMM TFR 315201856705,,660.0
2023-06-01,td chequing,Spotify       5.59_V,5.59,
2023-06-01,cibc chequing,Internet Banking E-TRANSFER 104590860284 KELLY OJUKWU,,200.0
2023-06-01,cibc chequing,Internet Banking E-TRANSFER 104590478600 me tdbank,800.0,
2023-06-01,cibc chequing,Internet Banking E-TRANSFER 104590859843 rick lai,800.0,
2023-06-01,cibc chequing,Internet Banking E-TRANSFER STOP 104590519370,,800.0
